reproduction_minimum,newborn_energy,transferred_energy,amount_of_iterations,immunological_time_span,bite_transfer,mahalanobis,immunological_maturity,good_agent_energy,evaluation_method,fitness_calls,iemas_fitness,time_elapsed
80,110,50,20,26,15,1.4,15,110,70,75,87.7553527522,1080
80,110,50,20,20,15,1.4,15,110,40,58,82.2755020129,1010
80,110,50,20,26,15,1.4,15,110,60,71,90.530539372,1180
80,110,50,20,26,15,1.4,15,110,20,76,88.8130438019,1140
80,110,50,20,26,15,1.2,15,110,70,78,89.4084190919,1050
80,110,50,20,20,15,1.2,15,110,schwefel,112,11223.2761496,1350
80,110,50,20,20,15,1.4,15,110,50,60,79.1013925134,1080
80,110,50,20,20,15,1.2,15,110,85,57,83.7485305171,980
80,110,50,20,20,15,1.2,15,110,50,61,82.1802681552,1090
80,110,50,20,20,15,1.2,15,110,80,60,84.0773189428,1140
80,110,50,20,20,15,1.4,15,110,55,61,81.3903075119,1120
80,110,50,20,20,15,1.4,15,110,90,58,75.7372790227,1060
80,110,50,20,20,15,1.2,15,110,35,63,82.2224651983,1080
80,110,50,20,23,15,1.4,15,110,20,69,84.1374914026,1040
80,110,50,20,20,15,1.4,15,110,25,59,75.2575982321,1080
80,110,50,20,20,15,1.2,15,110,40,59,81.7099212072,1090
80,110,50,20,23,15,1.2,15,110,40,65,86.8574735256,1070
80,110,50,20,26,15,1.4,15,110,rastrigin,73,94.5229185948,1090
80,110,50,20,26,15,1.2,15,110,100,79,95.2052936239,1210
80,110,50,20,23,15,1.2,15,110,75,64,91.154966426,1170
80,110,50,20,23,15,1.4,15,110,55,66,84.1699349754,1260
80,110,50,20,23,15,1.4,15,110,60,66,82.5475786004,1190
80,110,50,20,20,15,1.2,15,110,25,57,78.6326550418,1030
80,110,50,20,26,15,1.2,15,110,75,74,94.4641598124,1000
80,110,50,20,26,15,1.4,15,110,10,72,89.5086869035,1080
80,110,50,20,20,15,1.2,15,110,rastrigin,61,81.2927594576,940
80,110,50,20,23,15,1.4,15,110,25,63,86.9095969057,1060
80,110,50,20,23,15,1.4,15,110,95,69,83.5291461434,1140
80,110,50,20,20,15,1.4,15,110,schwefel,68,11571.9276089,1100
80,110,50,20,20,15,1.4,15,110,rastrigin,59,83.0558806577,1070
80,110,50,20,26,15,1.2,15,110,80,73,92.100187622,1150
80,110,50,20,23,15,1.4,15,110,65,67,84.8745768978,1100
80,110,50,20,23,15,1.4,15,110,85,65,85.4560772171,1190
80,110,50,20,20,15,1.2,15,110,20,58,78.1839403886,1160
80,110,50,20,23,15,1.4,15,110,10,66,86.3905049683,1120
80,110,50,20,20,15,1.2,15,110,10,61,80.750930519,1100
80,110,50,20,23,15,1.4,15,110,75,61,80.3810795404,1100
80,110,50,20,20,15,1.2,15,110,15,59,81.7933108519,1050
80,110,50,20,23,15,1.2,15,110,35,60,91.3908137476,1060
80,110,50,20,26,15,1.2,15,110,20,73,98.7410460445,1160
80,110,50,20,26,15,1.2,15,110,10,76,93.6795492047,1170
80,110,50,20,20,15,1.2,15,110,70,58,80.9926273116,1110
80,110,50,20,20,15,1.4,15,110,65,57,78.4220119206,930
80,110,50,20,23,15,1.2,15,110,70,67,88.3158309294,1220
80,110,50,20,20,15,1.2,15,110,65,60,78.7861787382,980
80,110,50,20,20,15,1.4,15,110,60,56,76.5945748117,1040
80,110,50,20,26,15,1.2,15,110,35,76,97.0875748735,1040
80,110,50,20,23,15,1.4,15,110,30,66,83.5180970804,1010
80,110,50,20,26,15,1.2,15,110,15,79,99.1932138574,1040
80,110,50,20,26,15,1.2,15,110,65,79,96.0548147315,1030
80,110,50,20,23,15,1.2,15,110,60,68,85.935261179,970
80,110,50,20,20,15,1.4,15,110,95,58,81.199731601,980
80,110,50,20,20,15,1.4,15,110,45,57,77.8351683123,950
80,110,50,20,20,15,1.4,15,110,75,61,84.0475357676,940
80,110,50,20,20,15,1.2,15,110,55,57,80.4663663201,940
80,110,50,20,23,15,1.4,15,110,50,65,83.9347941048,1030
80,110,50,20,23,15,1.4,15,110,rastrigin,65,86.4354445169,990
80,110,50,20,26,15,1.4,15,110,90,70,90.1726581472,1030
80,110,50,20,23,15,1.2,15,110,45,68,87.8807213684,1050
80,110,50,20,26,15,1.2,15,110,60,74,95.5949024803,1060
80,110,50,20,26,15,1.2,15,110,30,72,98.8178515449,1030
80,110,50,20,20,15,1.4,15,110,35,57,76.8247505665,1050
80,110,50,20,20,15,1.4,15,110,30,57,71.5558936965,1090
80,110,50,20,23,15,1.4,15,110,100,64,75.6817165601,1110
80,110,50,20,26,15,1.4,15,110,40,70,89.6532360208,1060
80,110,50,20,26,15,1.4,15,110,30,74,91.1494995893,1130
80,110,50,20,26,15,1.4,15,110,50,70,92.3945689736,1160
80,110,50,20,23,15,1.2,15,110,95,65,87.2103315037,1160
80,110,50,20,26,15,1.2,15,110,schwefel,141,10671.1677868,1270
80,110,50,20,26,15,1.4,15,110,45,72,91.5268982918,1220
80,110,50,20,26,15,1.2,15,110,40,73,90.1225198083,1210
80,110,50,20,20,15,1.4,15,110,85,60,76.1112342337,950
80,110,50,20,20,15,1.2,15,110,45,59,81.8334079898,1010
80,110,50,20,26,15,1.4,15,110,15,74,92.5020769406,1020
80,110,50,20,20,15,1.4,15,110,15,60,81.9736461782,1040
80,110,50,20,23,15,1.4,15,110,70,66,84.8440428971,1010
80,110,50,20,23,15,1.4,15,110,80,63,82.567757151,980
80,110,50,20,26,15,1.4,15,110,25,77,91.4900650835,1140
80,110,50,20,26,15,1.4,15,110,75,73,89.1483774184,1070
80,110,50,20,26,15,1.2,15,110,45,77,92.5908966402,1040
80,110,50,20,23,15,1.2,15,110,65,66,89.3088180364,1120
80,110,50,20,23,15,1.2,15,110,90,66,87.9973058812,990
80,110,50,20,20,15,1.2,15,110,60,64,81.6320561408,1100
80,110,50,20,23,15,1.4,15,110,15,66,91.1065112269,1120
80,110,50,20,20,15,1.4,15,110,80,60,77.9037256919,1130
80,110,50,20,26,15,1.2,15,110,95,77,100.377036414,1160
80,110,50,20,23,15,1.2,15,110,25,65,85.8140665562,1150
80,110,50,20,26,15,1.4,15,110,65,78,92.4746936803,1200
80,110,50,20,20,15,1.2,15,110,90,60,83.4020699493,1140
80,110,50,20,23,15,1.2,15,110,15,67,85.8200648012,1140
80,110,50,20,23,15,1.4,15,110,90,66,79.9252858077,1110
80,110,50,20,23,15,1.2,15,110,20,65,88.3784487599,1070
80,110,50,20,20,15,1.2,15,110,100,58,81.8632924119,1050
80,110,50,20,20,15,1.2,15,110,30,59,84.6798036776,1060
80,110,50,20,26,15,1.4,15,110,100,76,97.0864186588,1130
80,110,50,20,26,15,1.4,15,110,80,74,89.7660402322,1110
80,110,50,20,26,15,1.4,15,110,35,71,93.0688217139,1140
80,110,50,20,23,15,1.2,15,110,100,62,82.027657908,1040
80,110,50,20,23,15,1.2,15,110,85,67,88.2305500226,1160
80,110,50,20,20,15,1.2,15,110,95,62,80.404171104,1120
80,110,50,20,26,15,1.4,15,110,55,69,87.4678152104,1190
80,110,50,20,23,15,1.2,15,110,55,68,93.6871781729,1150
80,110,50,20,23,15,1.2,15,110,10,70,82.2708344442,1210
80,110,50,20,23,15,1.2,15,110,schwefel,119,11239.4222396,1330
80,110,50,20,26,15,1.2,15,110,55,78,92.196859144,1110
80,110,50,20,23,15,1.4,15,110,35,,,
80,110,50,20,23,15,1.2,15,110,rastrigin,,,
80,110,50,20,26,15,1.2,15,110,rastrigin,,,
80,110,50,20,26,15,1.4,15,110,95,,,
80,110,50,20,26,15,1.2,15,110,50,,,
80,110,50,20,26,15,1.4,15,110,85,,,
80,110,50,20,23,15,1.4,15,110,45,,,
80,110,50,20,26,15,1.4,15,110,schwefel,,,
80,110,50,20,26,15,1.2,15,110,85,,,
80,110,50,20,23,15,1.2,15,110,80,,,
80,110,50,20,20,15,1.4,15,110,70,,,
80,110,50,20,26,15,1.2,15,110,90,,,
80,110,50,20,26,15,1.2,15,110,25,,,
80,110,50,20,20,15,1.4,15,110,10,,,
80,110,50,20,23,15,1.4,15,110,schwefel,,,
80,110,50,20,23,15,1.2,15,110,50,,,
80,110,50,20,20,15,1.4,15,110,100,,,
80,110,50,20,20,15,1.4,15,110,20,,,
80,110,50,20,23,15,1.4,15,110,40,,,
80,110,50,20,23,15,1.2,15,110,30,,,
80,110,50,20,20,15,1.2,15,110,75,,,
